 format: day,hour,value location:61_128 Start : 20191001 
 26, 2300, 69.000000 
 27, 0000, 59.000000 
 27, 0100, 52.000000 
 27, 0200, 45.000000 
 27, 0300, 44.000000 
 27, 0400, 44.000000 
 27, 0500, 44.000000 
 27, 0600, 47.000000 
 27, 0700, 54.000000 
 27, 0800, 60.000000 
 27, 0900, 64.000000 
 27, 1000, 66.000000 
 27, 1100, 71.000000 
 27, 1200, 75.000000 
 27, 1300, 78.000000 
 27, 1400, 81.000000 
 27, 1500, 83.000000 
 27, 1600, 85.000000 
 27, 1700, 87.000000 
 27, 1800, 88.000000 
 27, 1900, 90.000000 
 27, 2000, 89.000000 
 27, 2100, 87.000000 
 27, 2200, 83.000000 
 27, 2300, 75.000000 
 28, 0000, 69.000000 
 28, 0100, 53.000000 
 28, 0200, 50.000000 
 28, 0300, 49.000000 
 28, 0400, 48.000000 
 28, 0500, 51.000000 
 28, 0600, 53.000000 
 28, 0700, 55.000000 
 28, 0800, 61.000000 
 28, 0900, 65.000000 
 28, 1000, 68.000000 
 28, 1100, 73.000000 
 28, 1200, 87.000000 
 28, 1300, 81.000000 
 28, 1400, 84.000000 
 28, 1500, 82.000000 
 28, 1600, 80.000000 
 28, 1700, 91.000000 
 28, 1800, 88.000000 
 28, 1900, 88.000000 
 28, 2000, 87.000000 
 28, 2100, 88.000000 
 28, 2200, 90.000000 
 28, 2300, 87.000000 
 29, 0000, 49.000000 
 29, 0100, 50.000000 
 29, 0200, 48.000000 
 29, 0300, 48.000000 
 29, 0400, 41.000000 
 29, 0500, 43.000000 
 29, 0600, 42.000000 
 29, 0700, 46.000000 
 29, 0800, 48.000000 
 29, 0900, 52.000000 
 29, 1000, 54.000000 
 29, 1100, 58.000000 
 29, 1200, 56.000000 
 29, 1300, 59.000000 
 29, 1400, 60.000000 
 29, 1500, 66.000000 
 29, 1600, 69.000000 
 29, 1700, 71.000000 
 29, 1800, 75.000000 
 29, 1900, 78.000000 
 29, 2000, 82.000000 
 29, 2100, 83.000000 
 29, 2200, 77.000000 
 29, 2300, 66.000000 
 30, 0000, 55.000000 
 30, 0100, 50.000000 
 30, 0200, 45.000000 
 30, 0300, 46.000000 
 30, 0400, 50.000000 
 30, 0500, 47.000000 
 30, 0600, 48.000000 
 30, 0700, 56.000000 
 30, 0800, 58.000000 
 30, 0900, 64.000000 
 30, 1000, 72.000000 
 30, 1100, 76.000000 
 30, 1200, 80.000000 
 30, 1300, 83.000000 
 30, 1400, 86.000000 
 30, 1500, 86.000000 
 30, 1600, 86.000000 
 30, 1700, 86.000000 
 30, 1800, 85.000000 
 30, 1900, 89.000000 
 30, 2000, 91.000000 
 30, 2100, 91.000000 
 30, 2200, 85.000000 
 30, 2300, 79.000000 
 31, 0000, 71.000000 
 31, 0100, 68.000000 
 31, 0200, 66.000000 
 31, 0300, 66.000000 
 31, 0400, 69.000000 
 31, 0500, 66.000000 
 31, 0600, 70.000000 
 31, 0700, 74.000000 
 31, 0800, 80.000000 
 31, 0900, 84.000000 
 31, 1000, 86.000000 
 31, 1100, 87.000000 
 31, 1200, 87.000000 
 31, 1300, 81.000000 
 31, 1400, 87.000000 
 31, 1500, 87.000000 
 31, 1600, 91.000000 
 31, 1700, 92.000000 
 31, 1800, 93.000000 
 31, 1900, 93.000000 
 31, 2000, 95.000000 
 31, 2100, 96.000000 
 31, 2200, 97.000000 
 31, 2300, 88.000000 
 Start : 20191101 
 1, 0000, 58.000000 
 1, 0100, 42.000000 
 1, 0200, 36.000000 
 1, 0300, 36.000000 
 1, 0400, 36.000000 
 1, 0500, 35.000000 
 1, 0600, 33.000000 
 1, 0700, 38.000000 
 1, 0800, 40.000000 
 1, 0900, 43.000000 
 1, 1000, 50.000000 
 1, 1100, 53.000000 
 1, 1200, 55.000000 
 1, 1300, 56.000000 
 1, 1400, 60.000000 
 1, 1500, 63.000000 
 1, 1600, 63.000000 
 1, 1700, 67.000000 
 1, 1800, 69.000000 
 1, 1900, 73.000000 
 1, 2000, 75.000000 
 1, 2100, 77.000000 
 1, 2200, 74.000000 
 1, 2300, 67.000000 
 2, 0000, 64.000000 
 2, 0100, 62.000000 
 2, 0200, 60.000000 
 2, 0300, 57.000000 
 2, 0400, 55.000000 
 2, 0500, 53.000000 
 2, 0600, 54.000000 
 2, 0700, 58.000000 
 2, 0800, 64.000000 
 2, 0900, 62.000000 
 2, 1000, 63.000000 
 2, 1100, 69.000000 
 2, 1200, 68.000000 
 2, 1300, 68.000000 
 2, 1400, 67.000000 
 2, 1500, 68.000000 
 2, 1600, 71.000000 
 2, 1700, 70.000000 
 2, 1800, 73.000000 
 2, 1900, 70.000000 
 2, 2000, 76.000000 
 2, 2100, 67.000000 
 2, 2200, 72.000000 
 2, 2300, 71.000000 
 3, 0000, 58.000000 
 3, 0100, 54.000000 
 3, 0200, 48.000000 
 3, 0300, 47.000000 
 3, 0400, 46.000000 
 3, 0500, 50.000000 
 3, 0600, 50.000000 
 3, 0700, 79.000000 
 3, 0800, 74.000000 
 3, 0900, 73.000000 
 3, 1000, 82.000000 
 3, 1100, 83.000000 
 3, 1200, 81.000000 
 3, 1300, 83.000000 
 3, 1400, 84.000000 
 3, 1500, 85.000000 
 3, 1600, 84.000000 
 3, 1700, 85.000000 
 3, 1800, 86.000000 
 3, 1900, 88.000000 
 3, 2000, 88.000000 
 3, 2100, 89.000000 
 3, 2200, 83.000000 
 3, 2300, 71.000000 
 4, 0000, 63.000000 
 4, 0100, 56.000000 
 4, 0200, 51.000000 
 4, 0300, 46.000000 
 4, 0400, 44.000000 
 4, 0500, 45.000000 
 4, 0600, 46.000000 
 4, 0700, 52.000000 
 4, 0800, 54.000000 
 4, 0900, 54.000000 
 4, 1000, 57.000000 
 4, 1100, 61.000000 
