 format: day,hour,value location:61_128 Start : 20191001 
 7, 2100, 340.000000 
 7, 2200, 317.000000 
 7, 2300, 29.000000 
 8, 0000, 53.000000 
 8, 0100, 82.000000 
 8, 0200, 126.000000 
 8, 0300, 201.000000 
 8, 0400, 245.000000 
 8, 0500, 284.000000 
 8, 0600, 313.000000 
 8, 0700, 309.000000 
 8, 0800, 263.000000 
 8, 0900, 297.000000 
 8, 1000, 317.000000 
 8, 1100, 341.000000 
 8, 1200, 354.000000 
 8, 1300, 316.000000 
 8, 1400, 319.000000 
 8, 1500, 343.000000 
 8, 1600, 36.000000 
 8, 1700, 360.000000 
 8, 1800, 338.000000 
 8, 1900, 341.000000 
 8, 2000, 360.000000 
 8, 2100, 357.000000 
 8, 2200, 4.000000 
 8, 2300, 66.000000 
 9, 0000, 68.000000 
 9, 0100, 74.000000 
 9, 0200, 87.000000 
 9, 0300, 207.000000 
 9, 0400, 95.000000 
 9, 0500, 248.000000 
 9, 0600, 266.000000 
 9, 0700, 284.000000 
 9, 0800, 278.000000 
 9, 0900, 272.000000 
 9, 1000, 308.000000 
 9, 1100, 23.000000 
 9, 1200, 327.000000 
 9, 1300, 314.000000 
 9, 1400, 307.000000 
 9, 1500, 315.000000 
 9, 1600, 319.000000 
 9, 1700, 327.000000 
 9, 1800, 319.000000 
 9, 1900, 17.000000 
 9, 2000, 49.000000 
 9, 2100, 19.000000 
 9, 2200, 147.000000 
 9, 2300, 205.000000 
 10, 0000, 151.000000 
 10, 0100, 324.000000 
 10, 0200, 249.000000 
 10, 0300, 113.000000 
 10, 0400, 322.000000 
 10, 0500, 195.000000 
 10, 0600, 144.000000 
 10, 0700, 172.000000 
 10, 0800, 161.000000 
 10, 0900, 305.000000 
 10, 1000, 215.000000 
 10, 1100, 107.000000 
 10, 1200, 123.000000 
 10, 1300, 332.000000 
 10, 1400, 8.000000 
 10, 1500, 182.000000 
 10, 1600, 139.000000 
 10, 1700, 194.000000 
 10, 1800, 180.000000 
 10, 1900, 189.000000 
 10, 2000, 72.000000 
 10, 2100, 297.000000 
 10, 2200, 144.000000 
 10, 2300, 335.000000 
 11, 0000, 339.000000 
 11, 0100, 309.000000 
 11, 0200, 282.000000 
 11, 0300, 293.000000 
 11, 0400, 296.000000 
 11, 0500, 320.000000 
